id,latitude,longitude,timestamp,city
0,38.682044237475,-121.26495651801,1568665785,Citrus Heights
1,38.67861,-121.26291,1568663828,Citrus Heights
2,38.67753,-121.27606,1568663691,Citrus Heights
3,38.67567,-121.27236,1568658298,Citrus Heights
4,38.6792,-121.2652,1568657180,Citrus Heights
5,38.68208,-121.26495,1568643344,Citrus Heights
6,38.682,-121.26502,1568568911,Citrus Heights
7,38.67914,-121.26535,1568567474,Citrus Heights
8,38.67856,-121.22519,1568567074,Orangevale
9,38.65814,-121.18322,1568564964,Folsom
10,38.67787,-121.19596,1568562757,Orangevale
11,38.6821,-121.26497,1568555631,Citrus Heights
12,38.68204,-121.26497,1568503850,Citrus Heights
13,38.67857,-121.26262,1568500423,Citrus Heights
14,38.67858,-121.26888,1568500309,Citrus Heights
15,38.67824,-121.29253,1568500163,Citrus Heights
16,38.7064,-121.32617,1568491933,Citrus Heights
17,38.70735,-121.32043,1568491389,Citrus Heights
18,38.70706,-121.30582,1568491185,Citrus Heights
19,38.68107,-121.33249,1568488756,Citrus Heights
20,38.61614,-121.42103,1568487459,Sacramento
21,38.57399,-121.46676,1568487044,Sacramento
22,38.53006,-121.47256,1568485932,Sacramento
23,38.5966,-121.44677,1568479171,Sacramento
24,38.57896,-121.45656,1568474878,Sacramento
25,38.59622,-121.44624,1568463474,Sacramento
26,38.59842,-121.45075,1568462784,Sacramento
27,38.52006,-121.46491,1568462275,Parkway
28,38.41365,-121.39074,1568461837,Elk Grove
29,38.38878,-121.37392,1568461743,Elk Grove
30,38.40112,-121.33471,1568461199,Elk Grove
31,38.68154,-121.26237,1568458403,Citrus Heights
32,38.682,-121.26507,1568436956,Citrus Heights
33,38.65517,-121.3661,1568434610,North Highlands
34,38.61589,-121.4213,1568434379,Sacramento
35,38.61389,-121.42358,1568434373,Sacramento
36,38.59815,-121.42325,1568431529,Sacramento
37,38.59584,-121.38274,1568425362,Arden Town
38,38.63731,-121.32761,1568424598,Carmichael
39,38.68217,-121.26493,1568419141,Citrus Heights
40,38.66849,-121.26213,1568416486,Fair Oaks
41,38.6445,-121.27222,1568415969,Fair Oaks
42,38.61816,-121.26819,1568415418,Rancho Cordova
43,38.61037,-121.27042,1568415168,Rancho Cordova
44,38.60679,-121.27002,1568415045,Gold River
45,38.48147,-121.24624,1568413884,Cosumne
46,38.38596,-121.35345,1568411343,Elk Grove
47,38.42388,-121.33472,1568410951,Elk Grove
48,38.56505,-121.33645,1568409897,Rosemont
49,38.61632,-121.26894,1568409516,Rancho Cordova
50,38.68219,-121.26491,1568386126,Citrus Heights
51,38.66353,-121.26214,1568384805,Fair Oaks
52,38.55895,-121.24305,1568383920,Rancho Cordova
53,38.43826,-121.29238,1568383075,Elk Grove
54,38.40803,-121.32564,1568382835,Sheldon
55,38.66351,-121.26255,1568380179,Fair Oaks
56,38.68204,-121.26499,1568370621,Citrus Heights
57,38.68214,-121.26497,1568352427,Citrus Heights
58,38.63231,-121.33658,1568342611,Carmichael
59,38.38596,-121.35347,1568339113,Elk Grove
60,38.46343,-121.26603,1568338411,Sheldon
61,38.54423,-121.24287,1568337950,Rancho Cordova
62,38.68207,-121.26509,1568324853,Citrus Heights
63,38.64933,-121.11901,1568312843,Folsom
64,38.6821,-121.26496,1568296711,Citrus Heights
65,38.67857,-121.2626,1568262479,Citrus Heights
66,38.67836,-121.27168,1568262419,Citrus Heights
67,38.58031,-121.50586,1568256151,Sacramento
68,38.61036,-121.5103,1568251116,Sacramento
69,38.68103,-121.3243,1568250274,Citrus Heights
70,38.67842,-121.28127,1568249972,Citrus Heights
71,38.68338,-121.26382,1568248338,Citrus Heights
72,38.66469,-121.27236,1568245604,Citrus Heights
73,38.67835,-121.22509,1568232209,Orangevale
74,38.67817,-121.26181,1568230437,Fair Oaks
75,38.68209,-121.265,1568206357,Citrus Heights
76,38.68203,-121.26502,1568162653,Citrus Heights
77,38.68402,-121.2632,1568160829,Citrus Heights
78,38.67799,-121.26668,1568155145,Citrus Heights
79,38.67886,-121.59494,1568148909,Vin
80,38.67832,-121.28436,1568147384,Citrus Heights
81,38.68219,-121.26497,1568119363,Citrus Heights
82,38.68209,-121.26497,1568093052,Citrus Heights
83,38.57747,-121.50632,1568090618,Sacramento
84,38.58035,-121.50588,1568085989,Sacramento
